orderName;familyName;scientificName;redlistCategory
LAMNIFORMES;ALOPIIDAE;Alopias pelagicus;Endangered
LAMNIFORMES;ALOPIIDAE;Alopias superciliosus;Vulnerable
LAMNIFORMES;ALOPIIDAE;Alopias vulpinus;Vulnerable
ORECTOLOBIFORMES;BRACHAELURIDAE;Brachaelurus colcloughi;Vulnerable
ORECTOLOBIFORMES;BRACHAELURIDAE;Brachaelurus waddi;Least Concern
CHIMAERIFORMES;CALLORHINCHIDAE;Callorhinchus callorynchus;Vulnerable
CHIMAERIFORMES;CALLORHINCHIDAE;Callorhinchus capensis;Least Concern
CHIMAERIFORMES;CALLORHINCHIDAE;Callorhinchus milii;Least Concern
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus acronotus;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus albimarginatus;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus altimus;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus amblyrhynchoides;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus amblyrhynchos;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus amboinensis;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus borneensis;Critically Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus brachyurus;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus brevipinna;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus cautus;Least Concern
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus cerdale;Critically Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus coatesi;Least Concern
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus dussumieri;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus falciformis;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus fitzroyensis;Least Concern
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus galapagensis;Least Concern
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus hemiodon;Critically Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus humani;Data Deficient
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus isodon;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus leiodon;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus leucas;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus limbatus;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus longimanus;Critically Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus macloti;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus melanopterus;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus obscurus;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus obsoletus;Critically Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus perezi;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus plumbeus;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus porosus;Critically Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus sealei;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus signatus;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus sorrah;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus tilstoni;Least Concern
CARCHARHINIFORMES;CARCHARHINIDAE;Carcharhinus tjutjot;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Galeocerdo cuvier;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Glyphis gangeticus;Critically Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Glyphis garricki;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Glyphis glyphis;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Isogomphodon oxyrhynchus;Critically Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Lamiopsis temminckii;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Lamiopsis tephrodes;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Loxodon macrorhinus;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Nasolamia velox;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Negaprion acutidens;Endangered
CARCHARHINIFORMES;CARCHARHINIDAE;Negaprion brevirostris;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Prionace glauca;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Rhizoprionodon acutus;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Rhizoprionodon lalandii;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Rhizoprionodon longurio;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Rhizoprionodon oligolinx;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Rhizoprionodon porosus;Vulnerable
CARCHARHINIFORMES;CARCHARHINIDAE;Rhizoprionodon taylori;Least Concern
CARCHARHINIFORMES;CARCHARHINIDAE;Rhizoprionodon terraenovae;Least Concern
CARCHARHINIFORMES;CARCHARHINIDAE;Scoliodon laticaudus;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Scoliodon macrorhynchos;Near Threatened
CARCHARHINIFORMES;CARCHARHINIDAE;Triaenodon obesus;Vulnerable
SQUALIFORMES;CENTROPHORIDAE;Centrophorus atromarginatus;Critically Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus granulosus;Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus harrissoni;Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus isodon;Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus lesliei;Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus longipinnis;Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus moluccensis;Vulnerable
SQUALIFORMES;CENTROPHORIDAE;Centrophorus seychellorum;Least Concern
SQUALIFORMES;CENTROPHORIDAE;Centrophorus squamosus;Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus tessellatus;Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus uyato;Endangered
SQUALIFORMES;CENTROPHORIDAE;Centrophorus westraliensis;Data Deficient
SQUALIFORMES;CENTROPHORIDAE;Deania calcea;Near Threatened
SQUALIFORMES;CENTROPHORIDAE;Deania profundorum;Near Threatened
SQUALIFORMES;CENTROPHORIDAE;Deania quadrispinosa;Vulnerable
LAMNIFORMES;CETORHINIDAE;Cetorhinus maximus;Endangered
CHIMAERIFORMES;CHIMAERIDAE;Chimaera argiloba;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera bahamaensis;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera buccanigella;Data Deficient
CHIMAERIFORMES;CHIMAERIDAE;Chimaera carophila;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera cubana;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera didierae;Data Deficient
CHIMAERIFORMES;CHIMAERIDAE;Chimaera fulva;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera jordani;Data Deficient
CHIMAERIFORMES;CHIMAERIDAE;Chimaera lignaria;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera macrospina;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera monstrosa;Vulnerable
CHIMAERIFORMES;CHIMAERIDAE;Chimaera notafricana;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera obscura;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera ogilbyi;Near Threatened
CHIMAERIFORMES;CHIMAERIDAE;Chimaera opalescens;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera orientalis;Data Deficient
CHIMAERIFORMES;CHIMAERIDAE;Chimaera owstoni;Data Deficient
CHIMAERIFORMES;CHIMAERIDAE;Chimaera panthera;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Chimaera phantasma;Vulnerable
CHIMAERIFORMES;CHIMAERIDAE;Chimaera willwatchi;Data Deficient
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus affinis;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus africanus;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus alberti;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus alphus;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus barbouri;Data Deficient
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus bemisi;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus colliei;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus erithacus;Data Deficient
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus homonycteris;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus lusitanicus;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus macrophthalmus;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus marmoratus;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus matallanasi;Vulnerable
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus mccoskeri;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus melanophasma;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus mirabilis;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus mitsukurii;Near Threatened
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus novaezealandiae;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus pallidus;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus purpurescens;Least Concern
CHIMAERIFORMES;CHIMAERIDAE;Hydrolagus trolli;Least Concern
HEXANCHIFORMES;CHLAMYDOSELACHIDAE;Chlamydoselachus africana;Least Concern
HEXANCHIFORMES;CHLAMYDOSELACHIDAE;Chlamydoselachus anguineus;Least Concern
SQUALIFORMES;DALATIIDAE;Dalatias licha;Vulnerable
SQUALIFORMES;DALATIIDAE;Euprotomicroides zantedeschia;Least Concern
SQUALIFORMES;DALATIIDAE;Euprotomicrus bispinatus;Least Concern
SQUALIFORMES;DALATIIDAE;Heteroscymnoides marleyi;Least Concern
SQUALIFORMES;DALATIIDAE;Isistius brasiliensis;Least Concern
SQUALIFORMES;DALATIIDAE;Isistius plutodus;Least Concern
SQUALIFORMES;DALATIIDAE;Mollisquama mississippiensis;Least Concern
SQUALIFORMES;DALATIIDAE;Mollisquama parini;Least Concern
SQUALIFORMES;DALATIIDAE;Squaliolus aliae;Least Concern
SQUALIFORMES;DALATIIDAE;Squaliolus laticaudus;Least Concern
SQUALIFORMES;ECHINORHINIDAE;Echinorhinus brucus;Endangered
SQUALIFORMES;ECHINORHINIDAE;Echinorhinus cookei;Data Deficient
